LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
529,F,MesAbr-2026,MesSep-2026,2,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
530,F,MesAbr-2026,MesSep-2026,3,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
531,F,MesAbr-2026,MesSep-2026,4,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
532,F,MesAbr-2026,MesSep-2026,10,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
533,F,MesAbr-2026,MesSep-2026,11,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
534,F,MesAbr-2026,MesSep-2026,12,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
535,F,MesAbr-2026,MesSep-2026,13,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
536,F,MesAbr-2026,MesSep-2026,14,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
537,F,MesAbr-2026,MesSep-2026,15,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
538,F,MesAbr-2026,MesSep-2026,16,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
539,F,MesAbr-2026,MesSep-2026,22,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
540,F,MesAbr-2026,MesSep-2026,23,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
541,F,MesAbr-2026,MesSep-2026,24,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
542,T,MesAbr-2024,MesSep-2027,1,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
543,T,MesAbr-2024,MesSep-2027,2,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
544,T,MesAbr-2024,MesSep-2027,3,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
545,T,MesAbr-2024,MesSep-2027,4,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
546,T,MesAbr-2024,MesSep-2027,10,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
547,T,MesAbr-2024,MesSep-2027,11,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
548,T,MesAbr-2024,MesSep-2027,12,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
549,T,MesAbr-2024,MesSep-2027,13,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
550,T,MesAbr-2024,MesSep-2027,14,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
551,T,MesAbr-2024,MesSep-2027,15,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
552,T,MesAbr-2024,MesSep-2027,16,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
553,T,MesAbr-2024,MesSep-2027,22,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
554,T,MesAbr-2024,MesSep-2027,23,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
555,T,MesAbr-2024,MesSep-2027,24,T,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
556,F,MesAbr-2025,MesSep-2025,1,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
557,F,MesAbr-2025,MesSep-2025,2,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
558,F,MesAbr-2025,MesSep-2025,3,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
559,F,MesAbr-2025,MesSep-2025,4,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
560,F,MesAbr-2025,MesSep-2025,10,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
