LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
646,F,MesAbr-2026,MesJun-2026,4,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
647,F,MesAbr-2026,MesJun-2026,10,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
648,F,MesAbr-2026,MesJun-2026,11,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
649,F,MesAbr-2026,MesJun-2026,12,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
650,F,MesAbr-2026,MesJun-2026,13,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
651,F,MesAbr-2026,MesJun-2026,14,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
652,F,MesAbr-2026,MesJun-2026,15,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
653,F,MesAbr-2026,MesJun-2026,16,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
654,F,MesAbr-2026,MesJun-2026,22,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
655,F,MesAbr-2026,MesJun-2026,23,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
656,F,MesAbr-2026,MesJun-2026,24,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
657,F,MesJul-2026,MesSep-2026,*,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,50,50,*,*,*,*,*,*,*
658,F,MesAbr-2026,MesSep-2026,1,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
659,F,MesAbr-2026,MesSep-2026,2,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
660,F,MesAbr-2026,MesSep-2026,3,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
661,F,MesAbr-2026,MesSep-2026,4,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
662,F,MesAbr-2026,MesSep-2026,10,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
663,F,MesAbr-2026,MesSep-2026,11,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
664,F,MesAbr-2026,MesSep-2026,12,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
665,F,MesAbr-2026,MesSep-2026,13,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
666,F,MesAbr-2026,MesSep-2026,14,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
667,F,MesAbr-2026,MesSep-2026,15,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
668,F,MesAbr-2026,MesSep-2026,16,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
669,F,MesAbr-2026,MesSep-2026,22,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
670,F,MesAbr-2026,MesSep-2026,23,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
671,F,MesAbr-2026,MesSep-2026,24,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
672,F,MesOct-2026,MesNov-2026,*,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,50,50,*,*,*,*,*,*,*
673,F,MesDic-2026,MesDic-2026,*,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,240.9677419,240.9677419,*,*,*,*,*,*,*
674,T,MesOct-2028,MesNov-2028,*,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,50,50,*,*,*,*,*,*,*
675,T,MesDic-2028,MesDic-2028,*,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,240.9677419,240.9677419,*,*,*,*,*,*,*
676,T,MesEne-2025,MesMar-*,1,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
677,T,MesEne-2025,MesMar-*,2,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
678,T,MesEne-2025,MesMar-*,3,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
679,T,MesEne-2025,MesMar-*,4,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
680,T,MesEne-2025,MesMar-*,10,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
681,T,MesEne-2025,MesMar-*,11,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
682,T,MesEne-2025,MesMar-*,12,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
683,T,MesEne-2025,MesMar-*,13,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
684,T,MesEne-2025,MesMar-*,14,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
685,T,MesEne-2025,MesMar-*,15,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
686,T,MesEne-2025,MesMar-*,16,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
687,T,MesEne-2025,MesMar-*,22,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
688,T,MesEne-2025,MesMar-*,23,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
689,T,MesEne-2025,MesMar-*,24,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
690,T,MesOct-2025,MesDic-*,1,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
691,T,MesOct-2025,MesDic-*,2,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
692,T,MesOct-2025,MesDic-*,3,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
693,T,MesOct-2025,MesDic-*,4,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
694,T,MesOct-2025,MesDic-*,10,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
695,T,MesOct-2025,MesDic-*,11,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
696,T,MesOct-2025,MesDic-*,12,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
697,T,MesOct-2025,MesDic-*,13,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
698,T,MesOct-2025,MesDic-*,14,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
699,T,MesOct-2025,MesDic-*,15,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
700,T,MesOct-2025,MesDic-*,16,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
701,T,MesOct-2025,MesDic-*,22,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
702,T,MesOct-2025,MesDic-*,23,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
703,T,MesOct-2025,MesDic-*,24,T,O Higgins Aux 1 220->O Higgins 220 III,*,*,*,*,*,*,*,430,430,*,*,*,*,*,*,*
704,T,MesEne-2025,MesOct-2027,*,F,Likanantai 220->Likanantai Aux 220,*,*,F,*,*,*,*,*,*,*,*,*,*,*,*,*
705,F,MesEne-2025,MesOct-2027,1,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
706,F,MesEne-2025,MesOct-2027,2,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
707,F,MesEne-2025,MesOct-2027,3,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
708,F,MesEne-2025,MesOct-2027,4,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
709,F,MesEne-2025,MesOct-2027,10,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
710,F,MesEne-2025,MesOct-2027,11,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
711,F,MesEne-2025,MesOct-2027,12,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
712,F,MesEne-2025,MesOct-2027,13,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
713,F,MesEne-2025,MesOct-2027,14,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
714,F,MesEne-2025,MesOct-2027,15,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
715,F,MesEne-2025,MesOct-2027,16,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
716,F,MesEne-2025,MesOct-2027,22,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
717,F,MesEne-2025,MesOct-2027,23,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
718,F,MesEne-2025,MesOct-2027,24,F,Likanantai 220->Likanantai Aux 220,*,*,*,*,*,*,*,347,347,*,*,*,*,*,*,*
719,F,MesEne-2025,MesOct-2027,*,F,Likanantai 220->Andes 220 I,*,*,F,*,*,*,*,*,*,*,*,*,*,*,*,*
720,F,MesEne-2025,MesOct-2027,*,F,Likanantai 220->Andes 220 II,*,*,F,*,*,*,*,*,*,*,*,*,*,*,*,*
721,T,MesEne-2025,MesOct-2027,*,F,Parinas 500->Parinas 220 I,*,*,*,*,*,*,*,400,400,*,*,*,*,*,*,*
