LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
200516,Maria Elena Aux 220->Frontera Aux 2 220 II,T,MesSep-2019,MesNov-2024,Maria Elena Aux 220,Frontera Aux 2 220,*,T,T,101,T,F,250,182.9,T,F,T,250,182.9,220,6.033195358,27.92122366,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_67.410004
200517,Lagunas Aux 3 220->Lagunas 220,T,MesSep-2019,MesNov-2024,Lagunas Aux 3 220,Lagunas 220,*,T,T,101,T,F,500,365.8,T,F,T,250,182.9,220,0,0.0001,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_67.410004
200518,Coloso 220->Coloso 13.8 III,T,MesFeb-2020,*,Coloso 220,Coloso 13.8,*,T,T,101,T,F,80,80,F,F,T,80,80,220,1.854,206.91,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/13.8
200519,Coloso 220->Coloso 13.8 IV,T,MesFeb-2020,*,Coloso 220,Coloso 13.8,*,T,T,101,T,F,80,80,F,F,T,80,80,220,1.854,206.91,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/13.8
200520,Calama 220->Lasana 220,T,MesSep-2020,*,Calama 220,Lasana 220,BarB,T,T,101,T,F,137.2,137.2,F,F,T,137.2,137.2,220,1.0533456,6.6269664,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,15.984
200521,Lasana 220->Lasana Aux 220,T,MesSep-2020,*,Lasana 220,Lasana Aux 220,*,T,T,101,T,F,137.2,137.2,F,T,T,137.2,137.2,220,0,0.0001,T,1,1,T,TxA,Cmn,F,F,*,0,0,30,CNE,Aux
200522,Lasana Aux 220->Solar Jama 220,T,MesSep-2020,*,Lasana Aux 220,Solar Jama 220,BarB,T,T,101,T,F,137.2,137.2,F,F,T,137.2,137.2,220,1.0533456,6.6269664,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,15.984
200523,Cerro Tigre 220->Farellones 220,T,MesNov-2020,MesAgo-2021,Cerro Tigre 220,Farellones 220,BarA,T,T,101,T,F,280.0726156,280.0726156,F,F,T,280.0726156,280.0726156,220,0.83538,1.40658,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,11.9
200524,Cerro Tigre 220->Tigre 220,T,MesSep-2021,*,Cerro Tigre 220,Tigre 220,BarA,T,T,101,T,F,280.0726156,280.0726156,F,F,T,280.0726156,280.0726156,220,0.68796,1.15836,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,9.8
200525,Tigre 220->Farellones 220,T,MesSep-2021,*,Tigre 220,Farellones 220,BarA,T,T,101,T,F,280.0726156,280.0726156,F,F,T,280.0726156,280.0726156,220,0.14742,0.24822,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,2.1
